episode,size
episode10.mp3,44368225
episode10.opus,23316368
episode11.mp3,92025559
episode11.opus,56143885
episode12.mp3,82738225
episode12.opus,50528425
episode13-2.mp3,93696516
episode13-2.opus,57792394
episode13.mp3,48824470
episode13.opus,30668021
episode14.mp3,89570535
episode14.opus,53096864
episode15.mp3,92409559
episode15.opus,44346597
episode16.mp3,98402291
episode16.opus,46795642
episode17.mp3,86723613
episode17.opus,40695390
episode18.mp3,101272848
episode18.opus,60486581
episode19.mp3,89311517
episode19.opus,50526104
episode1.mp3,43838435
episode20.mp3,92903400
episode20.opus,57463823
episode21.mp3,96266186
episode21.opus,57939939
episode22.mp3,82142894
episode22.opus,48793223
episode23.opus,65148325
episode24.mp3,83476604
episode24.opus,47512507
episode25.mp3,88632094
episode25.opus,48963713
episode26.mp3,75598397
episode26.opus,44831394
episode27.mp3,83531225
episode27.opus,48541483
episode28.mp3,69152662
episode28.opus,41096034
episode29.mp3,65304621
episode29.opus,38217729
episode2.mp3,48638538
episode30.mp3,77957280
episode30.opus,47106032
episode31.mp3,100417258
episode31.opus,60551173
episode32.mp3,59903063
episode32.opus,34569841
episode33.mp3,66423147
episode33.opus,39270088
episode34.mp3,68788069
episode34.opus,40079318
episode35.mp3,87183884
episode35.opus,53055568
episode36.mp3,75918033
episode36.opus,40948035
episode37.mp3,72408279
episode37.opus,38251306
episode38.mp3,87295779
episode38.opus,48229310
episode39.mp3,70931881
episode39.opus,38708340
episode3.mp3,50651729
episode40.mp3,56077748
episode40.opus,30242308
episode41.mp3,52348153
episode41.opus,27672210
episode42.mp3,48885908
episode42.opus,25371824
episode43.mp3,56685895
episode43.opus,30615042
episode44.mp3,65115175
episode44.opus,34564198
episode45.mp3,75782088
episode45.opus,41497343
episode46.mp3,78473733
episode46.opus,41948103
episode47.mp3,71868121
episode47.opus,38104979
episode48.mp3,88532263
episode48.opus,47842668
episode49.mp3,72069618
episode49.opus,39883957
episode4.mp3,87968214
episode50.mp3,82254407
episode50.opus,44860023
episode51.mp3,81038785
episode51.opus,44614432
episode52.mp3,71258520
episode52.opus,40192308
episode53.opus,59463706
episode54.mp3,97253861
episode54.opus,53373489
episode55.mp3,82694052
episode55.opus,46981712
episode56.mp3,75765527
episode56.opus,39189240
episode57.mp3,90196986
episode57.opus,50456012
episode58.mp3,54660921
episode58.opus,29121625
episode59.mp3,61700945
episode59.opus,31527761
episode5.mp3,71592609
episode60.mp3,63476487
episode60.opus,33569483
episode61.mp3,70804333
episode61.opus,38428920
episode62.mp3,67112436
episode62.opus,36506823
episode63.mp3,73691588
episode63.opus,40290620
episode6.mp3,92461295
episode7.mp3,90372355
episode8.mp3,86677335
episode8.opus,62018659
episode9.mp3,89043515
episode9.opus,52379639
muell2.mp3,52968284
muell2.opus,27658225
muell3.mp3,44967908
muell3.opus,19141306
muell.mp3,32266295
muell.opus,16793409
episode64.mp3,80929833
episode64.opus,44471828
